13:0:56   10.3.2022 | bot | Logged in as SuckersBot#3941 Version - 0.1.2 beta
13:0:56   10.3.2022 | VoiceChannels | Видалено 0 голосових каналів
13:0:56   10.3.2022 | XP | Додано 5 досвіду для користувача Sined#3206 за перебування у голосовому каналі
13:0:56   10.3.2022 | XP | Додано 5 досвіду для користувача Oleg Kotik#2665 за перебування у голосовому каналі
13:1:59   10.3.2022 | bot | Logged in as SuckersBot#3941 Version - 0.1.2 beta
13:1:59   10.3.2022 | VoiceChannels | Видалено 0 голосових каналів
13:2:0   10.3.2022 | XP | Додано 5 досвіду для користувача Oleg Kotik#2665 за перебування у голосовому каналі
13:2:0   10.3.2022 | XP | Додано 5 досвіду для користувача Sined#3206 за перебування у голосовому каналі
13:43:56   10.3.2022 | bot | Logged in as SuckersBot#3941 Version - 0.1.2 beta
13:43:56   10.3.2022 | VoiceChannels | Видалено 0 голосових каналів
13:43:56   10.3.2022 | XP | Додано 1 досвіду для користувача Sined#3206 за перебування у голосовому каналі
13:43:57   10.3.2022 | XP | Додано 1 досвіду для користувача Oleg Kotik#2665 за перебування у голосовому каналі
13:44:35   10.3.2022 | bot | Logged in as SuckersBot#3941 Version - 0.1.2 beta
13:44:35   10.3.2022 | VoiceChannels | Видалено 0 голосових каналів
13:44:35   10.3.2022 | XP | Додано 1 досвіду для користувача Sined#3206 за перебування у голосовому каналі
13:44:35   10.3.2022 | XP | Додано 1 досвіду для користувача Oleg Kotik#2665 за перебування у голосовому каналі
15:20:4   10.3.2022 | bot | Logged in as SuckersBot#3941 Version - 0.1.2 beta
15:20:4   10.3.2022 | VoiceChannels | Видалено 0 голосових каналів
15:20:8   10.3.2022 | VoiceChannels | Створено канал користувачем Sined
